분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,출처
Web Development,【한글자막】 The Web Developer 부트캠프 2023,모든 수준,"₩17,000","₩88,000",73.5 hours on-demand video,"What you'll learn
웹 개발 최신 문법 (HTML5, CSS3, 모던 자바스크립트)
Bootstrap 5, Semantic UI, Bulma 등 실무 CSS 프레임워크 사용법
정적 HTML과 CSS로 포트폴리오 사이트 만들기
멋진 반응형 포트폴리오 만들기
자바스크립트 기초 및 심화 문법
Vanilla JS를 사용한 DOM 조작법
NodeJS를 사용해 서버 사이드 프로그램 만들기
HTTP 요청과 Postman을 사용한 API 테스터링
SQL 인젝션, XSS 등 자주 발생하는 보안 위협 인식 및 방지하기
사용자 인증 기능 구현하기
다중 모델 및 DB 를 사용한 복잡한 웹 애플리케이션 만들기
Express와 MongoDB를 사용한 풀 스택 JS 애플리케이션 만들기",https://www.udemy.com/course/the-web-developer-bootcamp-2021-korea/
Docker,【한글자막】 Docker & Kubernetes : 실전 가이드,모든 수준,"₩17,000","₩88,000",23 hours on-demand video,"What you'll learn
Docker와 Kubernetes가 무엇이며, 왜 사용해야 하는지를 배우게 됩니다.
모든 시스템(macOS, Windows, Linux)에 Docker를 설치하고 사용하는 방법을 배웁니다.
Docker로 이미지 및 컨테이너의 생성법과 사용법을 배웁니다.
볼륨으로 데이터 관리 및 유지하기 같은 복잡한 주제를 이해합니다.
Docker 네트워크 및 DNS 서비스 검색을 통한 컨테이너 네트워킹을 배웁니다.
관리형 서비스 또는 Kubernetes를 사용하여 수동으로 Docker 애플리케이션을 배포하는 방법을 배웁니다.",https://www.udemy.com/course/docker-kubernetes-2022/
Web Development,【한글자막】 100일 코딩 챌린지 - Web Development 부트캠프,모든 수준,"₩17,000","₩88,000",79 hours on-demand video,"What you'll learn
웹 작동 방식과 웹 개발자로 시작하는 방법
100일 안에 웹 개발 배우기(선택 사항 - 다른 속도를 선택할 수도 있음)
웹사이트, 웹 앱 그리고 웹 서비스 구축(이러한""things""이 무엇인지 이해)
HTML, CSS과 자바 스크립트로 프론트엔드 사용자 인터페이스 구축
NodeJS, Express 및 SQL + NoSQL 데이터베이스로 백엔드 프로세스 구축
웹사이트에 사용자 인증, 파일 업로드 또는 데이터베이스 쿼리와 같은 고급 기능 추가",https://www.udemy.com/course/100-2022-web-development/
React JS,모던 리액트(React)와 리덕스(Redux),모든 수준,"₩17,000","₩88,000",18 hours on-demand video,"What you'll learn
리액트와 리덕스를 가지고 멋진 싱글 페이지 어플리케이션 만듭니다
리덕스 어플리케이션 구조화 뒤의 기본 개념 마스터하게 됩니다
구성화 가능한 컴포넌트를 만드는 것의 장점을 이해하게 됩니다
다른 모든이에게 어떻게 리덕스가 동작하는지 설명하는 기본이 제대로된 엔지니어가 됩니다
리액트를 서포트하는 툴체인인 npm, webpack, babel, ES6/ES2015 자바스크립트 구문에 익숙해집니다",https://www.udemy.com/course/react-redux-korean/
Typescript,【한글자막】 Typescript :기초부터 실전형 프로젝트까지 with React + NodeJS,모든 수준,"₩17,000","₩88,000",15 hours on-demand video,"What you'll learn
Typescript를 사용해야 하는 이유
Typescript 작동방식에 대한 깊이 있는 이해
Typescript 기본/심화 문법을 나의 개발 프로젝트에 적용하는 법
React와 NodeJS/Express 개발환경에서 Typescript를 효과적으로 활용하는 법
실제와 거의 흡사한 Typescript 프로젝트 실습 (템플릿 코드 제공)",https://www.udemy.com/course/best-typescript-21/
JavaScript,클린코드 자바스크립트 (2023 업데이트),중급자,"₩17,000","₩88,000",10.5 hours on-demand video,"What you'll learn
자바스크립트로 코드를 작성하는 방법에 대해 고민해봅니다.
코드를 작성할 때 위험을 예방하고 관리합니다.
JavaScript의 특성을 파악합니다.
흔히 알려진 JavaScript 코드 스타일에 대한 견해를 탐구합니다.
클린 코드가 무엇인지를 JavaScript를 통해 학습합니다.",https://www.udemy.com/course/clean-code-js/
Web Development,☕ 블랙커피 Vanilla JS Lv1. 문벅스 카페 메뉴 앱 만들기,초급자,"₩48,000",,5 hours on-demand video,"What you'll learn
자바스크립트를 통해 상태관리 가능한 애플리케이션 개발
자바스크립트 이벤트 처리
웹서버와의 비동기 통신
자바스크립트 모듈 관리",https://www.udemy.com/course/vanilla-js-lv1/
React JS,한입 크기로 잘라 먹는 리액트(React.js),초급자,"₩48,000",,17 hours on-demand video,"What you'll learn
실제 접속 가능한 React 포트폴리오를 갖게 됩니다
Javascript 프론트엔드 개발자로써 첫 발걸음을 내딛게 됩니다.
단순히 기술을 사용하기만 하는 것이 아니라, 완전히 이해하고 어떤 상황에서 필요하고, 어떻게 사용해야 하는지 아는 사람이 됩니다.
개발을 진행하다가 처음 만난 문제도 쉽게 해결할 수 있는 문제 해결 능력을 얻게 됩니다.
서버와 클라이언트, 터미널, SPA MPA 등등의 웹 CS지식을 완벽히 이해하고 응용할 수 있는 개발자가 됩니다.",https://www.udemy.com/course/winterlood-react-basic/
Django,Django(장고) 프레임워크로 주식 검색 웹 만들기,초급자,"₩17,000","₩35,000",37 mins on-demand video,"What you'll learn
Django Framework, api사용법, bootstrap",https://www.udemy.com/course/django-s/
Next.js,【한글자막】 Next.js & React - 완벽 정복 가이드 (incl. Two Paths!),모든 수준,"₩17,000","₩88,000",25 hours on-demand video,"What you'll learn
사전 렌더링, SSR, 데이터 페칭, 파일 기반 라우팅 및 인증 등의 핵심적인 NextJS 기능
NextJS를 통해 클라이언트 사이드 및 풀스택 ReactJS를 구축하는 방법
실제 프로젝트를 구축하고, 예시를 통해 배운 내용 직접 실습
과정 전체를 수강할 시간이 부족한 경우, “NextJS 요약” 모듈로 강의 내용 빠르게 정리 가능",https://www.udemy.com/course/nextjs-react-incl-two-paths/
Express Framework,"【한글자막】 NodeJS 완벽 가이드 : MVC, REST APIs, GraphQL, Deno",모든 수준,"₩17,000","₩88,000",38.5 hours on-demand video,"What you'll learn
가장 널리 사용하는 웹 개발 프로그래밍 언어 중 하나인 NodeJS를 배우게 됩니다.
NodeJS의 기본 개념 및 심화 내용을 자세히 배우게 됩니다.
NodeJS와 SQL 및 MongoDB 등의 데이터베이스를 통해 빠르고 확장 가능한 최신 서버 측 웹 애플리케이션을 구축하게 됩니다.
NodeJS 생태계를 이해하고 서버 측에서 렌더링 된 앱이나 REST API 및 GraphQL API를 구축하게 됩니다.
DenoJS에 대해 자세히 소개합니다.",https://www.udemy.com/course/nodejs-mvc-rest-apis-graphql-deno/
Bootstrap,부트스트랩 4와 함께하는 웹 디자인 마스터 코스 (Bootstrap 4 Web Design Tutorial),초급자,"₩17,000","₩79,000",9 hours on-demand video,"What you'll learn
HTML, 자바스크립트, CSS의 기본
jQuery 라이브러리 기본
부트스트랩 4 기본 및 활용
다양한 웹 디자인 템플릿 제작",https://www.udemy.com/course/bootstrap-4-web-design-tutorial/
ChatGPT,ChatGPT API 활용한 수익형 웹 서비스 만들기 - 바닥부터 실전 배포까지,초급자,"₩59,000",,4 hours on-demand video,"What you'll learn
ChatGPT 기초 및 고급 활용 방법
ChatGPT API 활용 방법
ChatGPT로 디자인 및 코딩을 하는 방법
DALLE 2를 이용해 웹사이트에 사용될 이미지를 제작하는 방법
ChatGPT를 적용한 나만의 웹 서비스를 만드는 방법
챗GPT로 수익형 웹 서비스 만드는 방법
HTML, CSS, JavaScript로 채팅 웹 서비스 구축하는 방법
대용량 트래픽 감당 가능한 비용 효율적인 서버 구조를 만드는 방법
Cloudflare Pages를 활용한 웹 서비스 Deploy 방법
AWS Lambda를 활용한 서버리스 API 서버 구축 방법
광고 및 후원을 웹 서비스에 녹여서 수익화 하는 방법
Show more",https://www.udemy.com/course/chatgptapi/
Vue JS,【한글자막】 Vue - 완벽 가이드 (Router 및 Composition API 포함),모든 수준,"₩17,000","₩88,000",31.5 hours on-demand video,"What you'll learn
멋진 Vue. js 애플리케이션 만들기(작고 단순한 APP에서 대규모 엔터프라이즈급 APP까지)
Vue. js의 이론을 이해하고 실제 프로젝트에 적용하기
멀티 페이지 애플리케이션(MPA) 및 싱글 페이지 애플리케이션(SPA)에서 Vue. js를 활용하기
새로운 컴포지션 API를 포함하여 Vue의 최신 버전인 Vue 3에 대해 알아보기",https://www.udemy.com/course/vue-router-composition-api/
Django,【한글자막】 Django 4 및 Python 풀스택 개발자 마스터 클래스,모든 수준,"₩17,000","₩88,000",17 hours on-demand video,"What you'll learn
HTML 사용법
Bootstrap으로 반응형 레이아웃 만들기
CSS로 웹사이트 스타일 지정하기
HTML, CSS 및 랜딩 페이지와 같은 정적 웹사이트 요소에 대한 이해
Django 함수 기반 뷰 사용법
Django 템플릿 언어를 사용하여, Django로 프런트 엔드와 상호 작용하기
Django 모델을 사용하여, SQL 백엔드 데이터베이스와 상호 작용하기
고급 클래스 기반 뷰를 사용하여, 웹 사이트를 빠르게 만드는 방법
Django에 내장된 인증 / 관리 시스템 사용법
Django Form 사용법
데이터베이스의 모델 테이블 간 관계 생성하기",https://www.udemy.com/course/django-4-python/
Typescript,【한글자막】 TypeScript 마스터 with Webpack & React,초급자,"₩17,000","₩88,000",10.5 hours on-demand video,"What you'll learn
TypeScript에 대한 모든 것 마스터하기
TypeScript 인터페이스, 제네릭, 클래스, 모듈 등 이해하기
TypeScript를 Webpack과 통합하기
TypeScript를 ReactJS와 함께 사용하기",https://www.udemy.com/course/typescript-with-webpack-react/
Project Planning,"잘나가는 PM, PO가 말하는 기획자의 커리어",초급자,"₩17,000","₩69,000",2.5 hours on-demand video,"What you'll learn
고객 중심의 서비스 기획 스킬
평범한 PO/PM/기획자가 일상에서 할 수 있는 자기개발 팁
서비스 기획자의 성장과정과 목표
PO/PM/기획자의 직무 구분과 커리어패스",https://www.udemy.com/course/growschool_pmpo/
Web Development,누구나 따라할 수 있는 웹 서비스 만들기( Feat . 컴공선배 라이징캠프 ),초급자,"₩17,000","₩69,000",7.5 hours on-demand video,"What you'll learn
웹사이트의 화면을 스스로 구성하고 기능을 구현합니다.
서버 연동을 통해 데이터 관리를 경험합니다.
HTML, CSS, JavaScript에 대한 전반적인 이해를 합니다.
웹에 대한 기초적인 지식을 쌓습니다.",https://www.udemy.com/course/comgongbro_webservice/
JavaScript,처음시작하는 JavaScript Tutorials 강사 윤재성,모든 수준,"₩23,000",,5 hours on-demand video,"What you'll learn
본 강좌는 JavaScript 언어에 대한 개요, 기초 문법, 제공 라이브러리까지 JavaScript에 대한 전반적인 내용을 학습할 수 있습니다.
학습 후에는 jQuery, BootStrap 등 웹 애플리케이션 프레임워크를 학습할 수 있으며 서버 개발을 위한 node js도 학습하실 수 있습니다.
최근 JavaScript 언어를 이용한 다양한 개발 분야가 새롭게 등장하고 있는데 그러한 개발 분야 모두를 다룰 수 있습니다.",https://www.udemy.com/course/softcampus-javascript/
Angular,【한글자막】 Angular 2 : 기초 문법부터 TypeScript 기반 최신 문법까지,모든 수준,"₩17,000","₩88,000",32.5 hours on-demand video,"What you'll learn
Angular 12를 사용하여 복잡하지만 빠르고 확장 가능한 웹 애플리케이션을 개발할 수 있게 됩니다.
Angular 작동 원리에 대한 심층적인 이해를 바탕으로 프론트엔드 개발자로 빠르게 자리매김 할 수 있습니다.
Angular 애플리케이션 이면의 아키텍처와 사용 방법을 완벽히 이해합니다.
Angular를 사용하여 싱글 페이지 애플리케이션 개발합니다.",https://www.udemy.com/course/angular-2021/
MERN Stack,"【한글자막】 React, NodeJS, Express 및 MongoDB - MERN 풀스택 가이드",모든 수준,"₩17,000","₩88,000",18.5 hours on-demand video,"What you'll learn
ReactJS를 NodeJS, Express 및 MongoDB와 연결하는 방법
처음부터 전체 프로젝트를 구축해보세요!
ReactJS, NodeJS, Express 및 MongoDB에 대한 기본 개념 복습
인증(Authentication) 및 권한 부여(Authorization) 구현 방법
ReactJS + Node/Express 애플리케이션에 파일 업로드 추가 방법",https://www.udemy.com/course/react-nodejs-express-mongodb-mern/
Spring Boot,【한글자막】 Spring Boot 3 & Spring Framework 6 마스터 (2023 Java 최신),모든 수준,"₩17,000","₩23,000",38 hours on-demand video,"What you'll learn
Spring Boot Framework 와 Spring Framework 을 이용해 웹 애플리케이션, REST API, 풀 스택 애플리케이션을 빌드하는 방법을 배웁니다.
Spring Framework 의 기초를 처음부터 마스터할 수 있으며 사전 경험이 필요하지 않습니다.
실제 프로젝트에서 사용하는 최신 방식으로 Spring Framework 에 대해 배웁니다.
Spring Boot 의 장점인 자동 설정, Spring Initializr, Starter Project 에 대해 배웁니다.
20년간 프로그래밍 경험을 쌓은 전문가로부터 탁월한 Java Spring 애플리케이션을 개발하는 최고의 방법을 배웁니다.
Spring Boot 웹, Spring Boot Data JPA 를 비롯해 다양한 Spring Boot Starter Project 를 사용하는 방법을 배웁니다.
구직 면접에서 Spring Framework 관련 전문성을 증명할 수 있는 모든 기술을 습득하게 됩니다.
React 및 Spring Boot를 사용해 실시간 프로젝트를 처음부터 개발합니다.
프로젝트에서 발생한 Java Spring Framework 문제를 해결하는 믿을 수 있는 해결사가 됩니다.
Spring Boot, Maven, Eclipse, JUnit, Mockito를 비롯한 최신 프레임워크 및 기술을 이해하게 됩니다.",https://www.udemy.com/course/spring-boot-and-spring-framework-korean/
Flask,【한글자막】 Python FLASK로 웹사이트 만들기,모든 수준,"₩17,000","₩88,000",20 hours on-demand video,"What you'll learn
템플릿을 만들기 위한 기본 HTML
웹 페이지 스타일을 지정하는 기본 CSS
함수, 데코레이터 및 객체 지향 프로그래밍을 포함한 Python 활용하는 방법
Flask를 사용하여 기본 랜딩 페이지 만드는 방법
WTForms를 사용하여 Flask 애플리케이션에서 사용자 입력 수락하는 방법
Flask 및 SQLAlchemy를 SQL 데이터베이스의 ORM으로 사용하는 방법
블루프린트로 대형 Flask 애플리케이션 구성하는 방법
Flask로 완벽하게 작동하는 소셜 네트워크 사이트 만드는 방법
Flask에서 사용자 인증 및 권한 부여하는 방법
Flask 애플리케이션을 통한 OAuth에 대한 이해
Flask에서 간단한 REST API 만드는 방법
Flask에서 Stripe 결제 구현하는 방법",https://www.udemy.com/course/python-flask-jose/
Web Development,너무 쉬운 HTML/CSS 입문,초급자,"₩17,000","₩79,000",6 hours on-demand video,"What you'll learn
웹 프로그래밍에 대한 이해
HTML 기본 태그들
CSS 스타일링 기법 이해
CSS 의 강력한 스타일링 기능",https://www.udemy.com/course/so_easy_html_css/
NFT (Non-Fungible Tokens),【한글자막】 NFT 웹 개발 완벽 마스터 – 기초부터 전문가까지,모든 수준,"₩17,000","₩88,000",24 hours on-demand video,"What you'll learn
포트폴리오를 위해 인상적인 NFT 마켓플레이스 예제를 처음부터 코딩하고 개발하는 과정
React, Truffle, Mocha, Web3, Bootstrap 등을 포함한 최신 도구 & 라이브러리를 사용하여 전문 웹 애플리케이션과 NFT를 개발하는 방법
Solidity와 EVM(Ethereum Virtual Machine)의 실제로 어떻게 작동하는지에 대한 이해로 면접 대비 가능
객체 지향 프로그래밍: 생성자 함수, 계약과 클래스, 인터페이스, 추상적 계약(virtual과 override), 상속과 해시 테이블
디버깅, 배포, 이더리움 Remix IDE로 컴파일을 위한, 이더리움 네트워크와 Web3를 사용하는 전문 블록체인 기술
템플릿 모델(인터페이스 계약)로 코드를 작성하는 법과 사고 과정을 명확하게 문서화하는 방법
수많은 예시, 실습 문제와 과제에서 배운 내용으로 여러 애플리케이션을 처음부터 구축 가능
수천 명의 개발자와 실습 팀으로 구성된 온라인 커뮤니티에서 교류하고 의사소통 중심의 전문적인 능력 습득",https://www.udemy.com/course/nft-web-development/
Go (programming language),【한글자막】 Google Go 프로그래밍 언어로 웹 개발하기,중급자,"₩17,000","₩88,000",19 hours on-demand video,"What you'll learn
최근 사용되는 모범 사례를 이용해 서버측 애플리케이션을 구축하는 법을 배웁니다.
웹 프로그래밍의 기본기를 탄탄하게 쌓습니다.
20년 이상의 강의 경력이 있는 컴퓨터 공학과 대학 교수의 강의를 수강할 기회를 얻습니다.
웹 개발 분야를 뛰어난 수준으로 이해하고 응용할 수 있습니다.
서버, 라우팅, RESTful 애플리케이션, JSON, 템플릿, 파일 서버에 대해 배웁니다.
쿠키, 상태, UUID, HTTP 메서드, HTTP 응답 코드, 세션에 대해 배웁니다.
Go 프로그래밍 언어의 표준 라이브러리만을 이용해 웹 애플리케이션을 만듭니다.
서드 파티 프레임워크를 사용하지 않고 웹 애플리케이션을 만듭니다.
동적으로 확장 가능하며 성능 기준에 부합하는 배포형 애플리케이션을 구축합니다.
최신 웹 개발 사례에 적용할 수 있습니다.
Show more",https://www.udemy.com/course/google-go-web-development/
Git,취업 준비생을 위한 Git (소스코드 버전관리),초급자,"₩17,000","₩23,000",41 mins on-demand video,"What you'll learn
소스 코드 형상 관리 기본 이해
macOS / Windows 터미널 명령어 이해
Command Line Interface 이해
Github 계정과 저장소 개념 이해",https://www.udemy.com/course/command-line-git-basic/
Svelte Framework,【한글자막】 Svelte.js - 완벽 가이드 (Sapper.js 포함),모든 수준,"₩17,000","₩88,000",12.5 hours on-demand video,"What you'll learn
관련 지식이 전혀 없다는 가정하에 Svelte의 완전 기초부터 실습까지 알려드립니다.
Svelte의 모든 이론부터 실제 활용법을 통해 효율적으로 애플리케이션을 구축하는 방법을 배웁니다
Svelte 애플리케이션을 구축하기 위한 핵심 개념 및 고급 기술을 배웁니다
Svelte의 작동 방식, 핵심 기능 및 실제 서버에서 완성한 앱을 실행하는 방법을 모두 배웁니다.",https://www.udemy.com/course/svelte-js-korean/
WordPress,DIY WordPress Theme - 내 손으로 직접 만들어보는 워드프레스 테마 코딩,모든 수준,"₩17,000","₩69,000",11 hours on-demand video,"What you'll learn
워드프레스에 대한 전반적인 구조와 기능, 문법을 이해할 수 있습니다.
부트스트랩의 프레임워크를 이해하고 이를 워드프레스에 접목시킬 수 있습니다.
이를 통해 나만의 워드프레스 테마를 코딩하고 원하는 웹사이트를 구축할 수 있습니다.
또한 좀 더 복잡한, 좀 더 다양한 기능을 가진 웹사이트를 만들 수 있는 방법론을 습득하게 됩니다.
결국, 다이내믹한 워드프레스의 관리자 페이지에서 포스트, 페이지를 생성하고 관리할 수 있습니다.
그것도 업체에 유지보수 비용을 지불하지 않고도 말입니다!!!",https://www.udemy.com/course/diy-wordpress-theme/
