,대분류,소분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,언어,출처
0,databases,MySQL,【한글자막】 실무 활용 중심의 MySQL 부트캠프,초급자,"₩17,000","₩88,000",16.5시간 주문형 동영상,"배울 내용
데이터 베이스 생성 및 활용하는 방법
여러개의 테이블을 조회하는 복잡한 SQL 쿼리 작성법
SQL을 활용해 데이터를 모델링하고 의미있는 보고서를 작성하는 법
기업 성과와 매출을 데이터 기반으로 분석하고 의사 결정 내리는 법
NodeJS에 MySQL을 연결해 웹앱 빌드하는 법",한국어,https://www.udemy.com/course/best-mysql-k/
1,databases,Database Programming,너무 쉬운 데이터베이스(MSSQL) 입문,초급자,"₩17,000","₩69,000",5시간 주문형 동영상,"배울 내용
관계형 데이터베이스, 비관계형 데이터베이스의 개념
쇼핑몰 데이터베이스 디자인
SQL 질의 언어
고급 SQL 문장",한국어,https://www.udemy.com/course/so_easy_database/
2,databases,MySQL,처음 시작하는 MySQL DataBase,모든 수준,"₩23,000",,6시간 주문형 동영상,"배울 내용
본 과정에서는 MySQL 데이터 베이스에 대해 개발자 측면 부분을 학습하게 됩니다.
MySQL 설치부터 다양한 기본 쿼리문, 그리고 데이터베이스 및 테이블을 관리하는 방법에 대해 학습하실 수 있습니다.
본 과정을 마치면 다른 데이터베이스를 학습 하시거나 웹 개발, 모바일 개발 등에서 데이터를 관리할 때 응용하실 수 있습니다.",한국어,https://www.udemy.com/course/softcampus-mysql/
3,databases,SQL,데이터 분석 필수 과정! MS SQL 로 실무 적용하기,모든 수준,"₩59,000",,3시간 주문형 동영상,"배울 내용
데이터를 읽고 수정하고 적재하고 계산하는 작업을 효율적으로 할 수 있음
원하는 데이터를 빠르고 편하게 계산해서 만들 수 있으며, 엑셀작업보다 시간을 단축할 수 있음
자동으로 데이터를 클리닝하고 계산할 수 있음
실무에서 자주 사용한 함수들을 배워 직장인과 취업을 준비하는 학생 모두에게 도움이 됨.
SQL을 자유자재로 사용할 수 있음",한국어,https://www.udemy.com/course/cloom-ms-sql/
4,databases,SQL,실무 SQL 완전정복 - SECTION 1 : SQL 시작하기,초급자,"₩23,000",,2시간 주문형 동영상,"배울 내용
SQL이 왜 중요한지에 대해 이해합니다.
SQL-Server를 설치하는 방법에 대해 학습합니다.
본 시리즈에서 사용하는 실습 데이터베이스에 대해서 이해합니다.
SQL에서 사용하는 산술/논리/비교 연산자에 대해 학습합니다.
정렬하는 방법과 중복을 제거하는 방법에 대해 학습합니다.",한국어,https://www.udemy.com/course/sql-49-section-1/
5,databases,SQL,실무 SQL 완전정복 - SECTION 2 : 단일 행 함수 마스터하기,모든 수준,"₩25,000",,3시간 주문형 동영상,"배울 내용
SQL-Server에서 사용하는 다양한 문자열 함수에 대해 학습하고 응용 문제를 풀어봅니다.
다양한 숫자 함수에 대해 학습하고 응용 문제를 풀어봅니다.
다양한 날짜 함수에 대해 학습하고 응용 문제를 풀어봅니다.
문자열 대체 함수인 TRANSLATE, REPLACE, STUFF를 비교합니다.
문자열을 분할하거나 합치는 함수인 STRING_SPLIT와 STRING_AGG에 대해 학습합니다.
조건처리 함수인 IIF와 CHOOSE 및 조건 처리 문장인 CASE...END에 대해 학습합니다.
NULL 대체 함수인 ISNULL과 COALESCE를 비교합니다.",한국어,https://www.udemy.com/course/sql-49-section-2/
6,databases,Oracle Database,Oracle SQL Database 11g PL/SQL Developer(오라클 데이터베이스 11G),모든 수준,"₩23,000",,8시간 주문형 동영상,"배울 내용
본 과정은 오라클 데이터 베이스의 내용 중 개발자를 위한 부분만을 다루고 있습니다.
이에 DBA가 알아야할 부분은 생략되어 있고 오로지 개발자만을 위한 강좌로 구성하였습니다.
개발자가 데이터 베이스를 사용하는 소프트웨어를 개발하기 위해 학습해야 하는 부분을 단기간에 학습수 있도록 구성하였습니다.
풍부한 예제를 통해 실무 적용 가능한 명령문 등을 학습 수 있으며 본 과정을 마치게 되면 Java를 이용한 웹 애플리케이션 개발인 Servlet/JSP를 학습하시는데 도움이 될 수 있습니다",한국어,https://www.udemy.com/course/softcampus-oracle11g/
7,databases,SQL,실무 SQL 완전정복 - SECTION 5 : 하위 쿼리 마스터하기,모든 수준,"₩33,000",,2.5시간 주문형 동영상,"배울 내용
하위 쿼리가 무엇이며, 사용 목적이 무엇인지에 대해 이해할 수 있습니다.
하위 쿼리의 유형에는 어떤 것이 있으며, 어느 절에서 사용 가능한지에 대해 이해할 수 있습니다..
비교 연산자를 사용한 단일 행 하위 쿼리를 작성할 수 있습니다.
IN/NOT IN을 사용한 다중 행 하위 쿼리를 작성할 수 있습니다.
ANY, SOME 또는 ALL을 사용한 다중 행 하위 쿼리를 작성할 수 있습니다.
EXISTS/NOT EXISTS을 사용한 다중 행 하위 쿼리를 작성할 수 있습니다.
상관 하위 쿼리를 작성할 수 있습니다.
다중 중첩 하위 쿼리를 작성할 수 있습니다.
SELECT절, HAVING절에서 사용되는 하위 쿼리를 작성할 수 있습니다.
FROM절에서 사용되는 하위 쿼리인 인라인뷰를 작성할 수 있습니다.",한국어,https://www.udemy.com/course/sql-49-section-5/
8,databases,SQL,실무 SQL 완전정복 - SECTION 4 : 조인 마스터하기(실습자료 및 문제풀이 포함),모든 수준,"₩27,000",,2.5시간 주문형 동영상,"배울 내용
조인의 정의, 원리에 대해 학습합니다.
ANSI-SQL 조인과 T-SQL 조인을 비교합니다.
실습에서 사용하는 북풍 데이터베이스의 구조에 대해 이해합니다.
이퀴 조인, 비이퀴 조인, 셀프 조인, 외부 조인, 크로스 조인에 대해 학습합니다.
공통 테이블 식이 무엇인가, 왜 사용하는가에 대해 알아보고 비재귀적 CTE와 재귀적 CTE에 대해 학습합니다.
재귀적 CTE를 사용하여 계층형 질의문을 작성하는 방법에 대해 학습합니다.",한국어,https://www.udemy.com/course/sql-49-section4/
9,databases,SQL,실무 SQL 완전정복 - SECTION 3 : 집계 함수 마스터하기(실습자료 및 문제풀이 포함),모든 수준,"₩25,000",,2.5시간 주문형 동영상,"배울 내용
집계함수를 사용하는 문법과 집계함수의 종류에 대해 학습합니다.
중복을 제거한 레코드의 개수를 세는 법에 대해 학습합니다.
소그룹으로 묶어서 요약하는 법에 대해 학습합니다.
조건을 지정하여 집계하는 방법에 대해 학습합니다.
WHERE절과 HAVING절을 비교하여 실습합니다.
ROLLUP, CUBE, GROUPING SETS를 사용하여 소계와 총계를 한번에 구하는 법과 GROUPING을 사용하여 NULL을 구분하는 방법에 대해 학습합니다.
행을 열로, 열을 행으로 바꾸는 PIVOT절과 UNPIVOT절에 대해 학습합니다.",한국어,https://www.udemy.com/course/sql-49-section3/
